batch_size,s_in,s_out,mirage_status,minimum_first30_matches,mpk_prefill_ms,sglang_prefill_ms,prefill_ratio_sglang_over_mpk,mpk_decode_ms,sglang_decode_ms,decode_ratio_sglang_over_mpk,decode_winner,mpk_total_ms,sglang_total_ms,total_ratio_sglang_over_mpk,total_winner,mpk_decode_tokens_per_second,sglang_decode_tokens_per_second
1,16,16,completed,16,23.34636878967285,7.39513523876667,0.3167574069179388,94.02671813964844,93.98146811872721,0.9995187535860389,SGLang,117.37308692932129,101.37660335749388,0.8637125086310455,SGLang,159.5291242402187,159.74169537699922
1,16,128,correctness_failed,19,23.54591941833496,7.217360660433769,0.3065227792639809,799.9253540039062,796.5599903836846,0.9957929029210328,SGLang,823.4712734222412,803.7773510441184,0.9760842630292647,SGLang,158.76481394710214,160.01410131745325
1,16,512,correctness_failed,19,24.149791717529297,7.307766005396843,0.3026016162322613,3301.032958984375,3216.29143320024,0.9743287853114295,SGLang,3325.1827507019043,3223.599199205637,0.9694502350360069,SGLang,154.80002967229348,158.66470667160803
1,128,16,completed,16,24.059551239013672,8.34322813898325,0.34677405476517453,94.9900131225586,94.51213479042053,0.9949691729011397,SGLang,119.04956436157227,102.85536292940378,0.8639709307714546,SGLang,157.9113372754945,158.90383621569944
1,128,128,completed,30,24.158111572265625,8.101220242679119,0.33534161883661506,811.32666015625,797.7131055667996,0.9832206246164417,SGLang,835.4847717285156,805.8143258094788,0.9644871493496496,SGLang,156.53374434354419,159.25124780513403
1,128,512,completed,30,24.687040328979492,8.12616664916277,0.32916730968449337,3346.9033203125,3218.1744650006294,0.9615379223742109,SGLang,3371.5903606414795,3226.300631649792,0.9569076567878061,SGLang,152.67844664012821,158.78350046825778
1,512,16,completed,16,35.61171340942383,18.523921258747578,0.5201637182064272,101.52473449707031,98.00045751035213,0.965286518559476,SGLang,137.13644790649414,116.52437876909971,0.8496966382602481,SGLang,147.74724676017598,150.62238893486892
1,512,128,completed,30,35.822689056396484,17.933405935764313,0.5006158501259171,859.3370361328125,803.0257923528552,0.9344712942510088,SGLang,895.159725189209,820.9591982886195,0.9171091763708362,SGLang,147.7883468999838,158.34559907223152
1,512,512,completed,30,36.09910583496094,17.937720753252506,0.49690207938281794,3553.984375,3233.2056928426027,0.9097411107336685,SGLang,3590.083480834961,3251.1434135958552,0.9055899203880694,SGLang,143.78228660614187,158.1858270018007
4,16,16,completed,16,15.910752296447754,7.619745098054409,0.47890539404322185,94.00358581542969,97.77094051241875,1.0400767126520687,MPK,109.91433811187744,105.39068561047316,0.9588438362172564,SGLang,638.273524137753,620.8317294696828
4,16,128,correctness_failed,19,15.912832260131836,7.53389298915863,0.47344764690532926,798.724609375,816.8458053842187,1.0226876645548688,MPK,814.6374416351318,824.3796983733773,1.0119590092970572,MPK,636.0139577989323,622.5209196160662
4,16,512,correctness_failed,19,16.663679122924805,7.557785138487816,0.45354840805175534,3303.367431640625,3320.2784219756722,1.0051193185998835,MPK,3320.03111076355,3327.83620711416,1.00235091060602,MPK,618.7625331720494,614.8982748643419
4,128,16,completed,16,24.1329288482666,17.791888676583767,0.7372453127611863,97.1805419921875,99.66358821839094,1.0255508579732253,MPK,121.3134708404541,117.45547689497471,0.9681981405795136,SGLang,617.4075465109414,608.2177421935827
4,128,128,completed,27,24.157472610473633,17.775895074009895,0.7358342224220524,812.4647827148438,825.4711274057627,1.0160085027285224,MPK,836.6222553253174,843.2470224797726,1.0079184687142695,MPK,625.2578706273551,615.9550783910987
4,128,512,completed,27,24.44144058227539,17.90911890566349,0.7327358158524807,3359.6796875,3337.0842365548015,0.9932745222619683,SGLang,3384.1211280822754,3354.993355460465,0.9913928102690825,SGLang,608.3913319489627,612.5663482153146
4,512,16,completed,16,80.17533111572266,62.91080079972744,0.7846653069498882,107.8887710571289,104.92493584752083,0.9725287888575663,SGLang,188.06410217285156,167.83573664724827,0.8924389860058928,SGLang,556.1283107787834,587.8541021236956
4,512,128,completed,30,79.79216003417969,62.1536448597908,0.7789442575958181,867.6746215820312,841.9114733114839,0.9703078231980862,SGLang,947.4667816162109,904.0651181712747,0.9541918890592652,SGLang,585.4729265606081,607.6654568915022
4,512,512,completed,30,79.9402847290039,62.46223859488964,0.781361222400389,3574.0927734375,3379.6389484778047,0.9455935149739627,SGLang,3654.033058166504,3442.1011870726943,0.9420005600058388,SGLang,571.8933809415687,606.2589972272791
8,16,16,completed,16,15.801152229309082,8.47899354994297,0.5366060289081666,94.07843017578125,98.59582222998142,1.0480172983941125,MPK,109.87958240509033,107.07481577992439,0.9744741783343727,SGLang,1275.5314876724185,1231.276406457327
8,16,128,correctness_failed,19,16.015968322753906,8.364496752619743,0.5222598212020869,803.942626953125,824.974593706429,1.0261610294667587,MPK,819.9585952758789,833.3390904590487,1.016318501031955,MPK,1263.7717741756705,1232.6591720227
8,16,512,correctness_failed,19,16.512863159179688,8.328132331371307,0.5043421150584418,3323.248779296875,3367.2158857807517,1.0132301580181966,MPK,3339.7616424560547,3375.544018112123,1.01071405072781,MPK,1230.121568227862,1207.4328660106185
8,128,16,completed,16,40.41062545776367,32.28569496423006,0.7989407389394253,98.10880279541016,102.3662555962801,1.0433952171422187,MPK,138.51942825317383,134.65195056051016,0.9720798898650157,SGLang,1223.1318350733557,1172.6410510220144
8,128,128,completed,27,40.01001739501953,31.806258484721184,0.7949573770662856,820.596923828125,836.4614462479949,1.019332905058748,MPK,860.6069412231445,868.2677047327161,1.0089015822934029,MPK,1238.1230912496114,1222.8253248341343
8,128,512,completed,27,41.1110725402832,32.066923566162586,0.7800069807164823,3396.006591796875,3396.4212983846664,1.0001221159548963,MPK,3437.117664337158,3428.488221950829,0.997489337512106,SGLang,1203.7668035965094,1203.9764030041051
8,512,16,completed,16,155.4567413330078,128.5796882584691,0.8271091183047206,108.27865600585938,108.93708653748035,1.0060808894006346,MPK,263.7353973388672,237.51677479594946,0.9005873962787405,SGLang,1108.2516575889742,1157.1117236920093
